animal id,PLYUID,start,stop,duration,mFrequency_Hz,mPeriod_s,mHeight_V,mO2_V,mCO2_V,mTchamber_V,segment,start_time,stop_time,Alias,Cal Seg,MAN_IND_INCLUDE,MAN_IND_CAL,MAN_IND_GAS_CAL,CAL_O2,CAL_CO2,MAN_IND_GAS,MAN_IND_INJECTION
M17865,Ply1180,4949.400000000001,4958.649,9.25,4.554757088,0.2209806371,1.067882811,1.974528954,0.5481898961,0.02996327682,Room Air,0 days 01:22:29.400000,0 days 01:22:38.649000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,4960.700000000001,4969.649,8.95,4.499275794,0.2263343128,1.100328522,1.969356564,0.5634257032,0.02996326794,Room Air,0 days 01:22:40.700000,0 days 01:22:49.649000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,5007.700000000001,5028.599,20.9,4.520696341,0.2269245114,1.115899719,1.961100148,0.5877312232,0.02998539156,Room Air,0 days 01:23:27.700000,0 days 01:23:48.599000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,5034.55,5041.149,6.6,4.452844381,0.2264996932,1.029453122,1.964174721,0.5744027915,0.02996685584,Room Air,0 days 01:23:54.550000,0 days 01:24:01.149000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,5044.6,5049.849,5.25,4.49626048,0.223393888,0.9712216041,1.963831375,0.5811380325,0.02995178549,Room Air,0 days 01:24:04.600000,0 days 01:24:09.849000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,5052.950000000001,5059.399,6.45,4.405118925,0.2280576384,1.11607639,1.959183721,0.6064094919,0.02996303273,Room Air,0 days 01:24:12.950000,0 days 01:24:19.399000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,5129.700000000001,5144.249000000001,14.55,4.327225185,0.2325306921,1.107950817,1.964838619,0.5745198011,0.02997562265,Room Air,0 days 01:25:29.700000,0 days 01:25:44.249000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17865,Ply1180,5190.5,5196.1990000000005,5.7,4.937448193,0.2185057347,1.024758548,1.96584841,0.5640041118,0.0300368968,Room Air,0 days 01:26:30.500000,0 days 01:26:36.199000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17866,Ply1170,5553.200000000001,5564.549,11.35,3.548059752,0.2850300674,1.156363637,1.962381359,0.5354694109,0.02910283609,Room Air,0 days 01:32:33.200000,0 days 01:32:44.549000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17866,Ply1170,5595.85,5604.899,9.05,3.440959317,0.2918433994,1.184665186,1.985805906,0.4175562498,0.0293594958,Room Air,0 days 01:33:15.850000,0 days 01:33:24.899000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17866,Ply1170,5612.25,5679.6990000000005,67.45,3.472563535,0.289114195,1.075052307,1.970496805,0.4894365317,0.02940168634,Room Air,0 days 01:33:32.250000,0 days 01:34:39.699000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17874,Ply1178,4560.950000000001,4585.4490000000005,24.5,2.732181113,0.3761958957,0.9846777301,2.012516166,0.3388837628,0.02894214319,Room Air,0 days 01:16:00.950000,0 days 01:16:25.449000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17874,Ply1178,4633.5,4649.249000000001,15.75,2.597916948,0.3972726598,0.8756414542,2.011091107,0.3406245438,0.0289176194,Room Air,0 days 01:17:13.500000,0 days 01:17:29.249000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17874,Ply1178,4657.75,4668.549,10.8,2.416325731,0.418739289,0.844000001,2.021338076,0.3016765339,0.02891189271,Room Air,0 days 01:17:37.750000,0 days 01:17:48.549000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17874,Ply1178,5028.05,5050.149,22.1,2.990922088,0.3476440407,0.9498065445,2.014090511,0.3188376556,0.02891124187,Room Air,0 days 01:23:48.050000,0 days 01:24:10.149000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3536.7000000000003,3541.2990000000004,4.6,4.795870963,0.2087271554,1.176741072,1.986973368,0.486291304,0.03115523107,Room Air,0 days 00:58:56.700000,0 days 00:59:01.299000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3543.15,3547.7990000000004,4.65,4.70752464,0.2134036585,1.149151796,1.992496907,0.4527650539,0.03111243293,Room Air,0 days 00:59:03.150000,0 days 00:59:07.799000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3562.0,3571.7990000000004,9.8,4.47167503,0.2285339251,1.207393296,1.967639894,0.5753732785,0.03103954102,Room Air,0 days 00:59:22,0 days 00:59:31.799000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3575.05,3580.099,5.05,3.898128748,0.2584743288,1.23983552,1.980618935,0.517178528,0.03116404711,Room Air,0 days 00:59:35.050000,0 days 00:59:40.099000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3583.65,3593.949,10.3,4.526118591,0.2228062593,1.066576391,1.977634917,0.5392148059,0.0310619844,Room Air,0 days 00:59:43.650000,0 days 00:59:53.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3596.4,3605.7990000000004,9.4,4.371897674,0.2306590926,1.155742192,1.981039095,0.514315526,0.03097406941,Room Air,0 days 00:59:56.400000,0 days 01:00:05.799000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3623.75,3630.949,7.2,4.473559552,0.2285178129,1.151713347,1.970465755,0.5656954865,0.03090295171,Room Air,0 days 01:00:23.750000,0 days 01:00:30.949000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3661.7000000000003,3666.0490000000004,4.35,4.281712453,0.2352579248,1.16263021,1.967423709,0.5682474857,0.03112449725,Room Air,0 days 01:01:01.700000,0 days 01:01:06.049000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3804.3500000000004,3812.699,8.35,5.129931104,0.1972587286,1.152306554,1.976844536,0.5355913543,0.03115370518,Room Air,0 days 01:03:24.350000,0 days 01:03:32.699000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3829.2500000000005,3839.8990000000003,10.65,4.214841792,0.2385071669,1.0840625,1.975579075,0.5627177527,0.03106769383,Room Air,0 days 01:03:49.250000,0 days 01:03:59.899000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3853.8,3859.849,6.05,4.100246948,0.2477686742,1.083016295,1.981138323,0.5493904958,0.031434349,Room Air,0 days 01:04:13.800000,0 days 01:04:19.849000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3861.2500000000005,3866.349,5.1,4.124445534,0.2448335007,1.053703111,1.989030387,0.5171887875,0.03121433827,Room Air,0 days 01:04:21.250000,0 days 01:04:26.349000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3868.9,3878.1490000000003,9.25,4.002503183,0.2525884931,1.081987845,1.994430136,0.4832472302,0.03111820958,Room Air,0 days 01:04:28.900000,0 days 01:04:38.149000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3882.3500000000004,3892.199,9.85,4.158827934,0.2409536391,1.117526051,1.98809321,0.5075039342,0.03112515875,Room Air,0 days 01:04:42.350000,0 days 01:04:52.199000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17877,Ply1183,3900.55,3912.599,12.05,4.139833913,0.2447182889,1.017684946,1.991632675,0.4823566911,0.03103607385,Room Air,0 days 01:05:00.550000,0 days 01:05:12.599000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3610.25,3619.3990000000003,9.15,4.928082984,0.2128731016,1.600739342,1.916407856,0.8020164204,0.02990505435,Room Air,0 days 01:00:10.250000,0 days 01:00:19.399000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3623.25,3630.349,7.1,5.015662491,0.2101320541,1.856298834,1.919939835,0.7936423886,0.02990250852,Room Air,0 days 01:00:23.250000,0 days 01:00:30.349000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3739.8500000000004,3756.3990000000003,16.55,4.805373533,0.2230932598,1.404092459,1.956568238,0.6096473551,0.02983727309,Room Air,0 days 01:02:19.850000,0 days 01:02:36.399000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3796.15,3802.2990000000004,6.15,5.012100474,0.1998886247,1.176937497,1.953728251,0.5898504566,0.02984085332,Room Air,0 days 01:03:16.150000,0 days 01:03:22.299000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3840.9500000000003,3848.5490000000004,7.6,4.889185561,0.2050278307,0.8157725715,1.980264636,0.5042648459,0.02983293553,Room Air,0 days 01:04:00.950000,0 days 01:04:08.549000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3915.3,3924.7490000000003,9.45,4.620278251,0.2184722714,1.162544654,1.969949501,0.5349841267,0.02980026422,Room Air,0 days 01:05:15.300000,0 days 01:05:24.749000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,3937.1000000000004,3956.699,19.6,4.634057326,0.2164896034,1.06065889,1.975594562,0.5165347252,0.02979889955,Room Air,0 days 01:05:37.100000,0 days 01:05:56.699000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
M17878,Ply1160,4071.0000000000005,4077.449,6.45,4.687424676,0.2152981532,1.227844826,1.97183687,0.5063550887,0.0297777613,Room Air,0 days 01:07:51,0 days 01:07:57.449000,Room Air,Cal 20 Room Air,1,0,0,NA,NA,RA,NA
